id|titulo|precioOld|precioNew|imagen|link
45|Huawei Ascend Y221 - Dual Core 1Ghz 4GB 2MP Android 4.4 KitKat - Negro|399.00|209.00|//media.linio.com.pe/p/huawei-6838-0685141-1-product.jpg|/p/huawei-ascend-y221-dual-core-1ghz-4gb-2mp-android-44-kitkat-negro-ymn7xw
46|vkworld vk700 5.5" HD IPS 3G Smartphone libre Android 4.4 Quad Core 8GB Negro EU|416.00|249.00|//media.linio.com.pe/p/vkworld-3731-1024351-1-product.jpg|/p/vkworld-vk700-55-hd-ips-3g-smartphone-libre-android-44-quad-core-8gb-negro-eu-x2o2gn
47|Huawei P8 Libre 13mp  4GLte - Gris|3000.00|1385.99|//media.linio.com.pe/p/huawei-6162-7901431-1-product.jpg|/p/huawei-p8-libre-13mp-4glte-gris-n02xo5
48|Smartphone Motorola Moto E 2da Generación XT1527 8GB 5MP 4G LTE Desbloqueado - Negro|999.00|499.00|//media.linio.com.pe/p/motorola-6211-7394431-1-product.jpg|/p/smartphone-motorola-moto-e-2da-generacio-n-xt1527-8gb-5mp-4g-lte-desbloqueado-negro-n3ngwz
49|Smartphone Samsung Galaxy SIII Mini I8200 8GB 5MP Desbloqueado - Negro|999.00|449.00|//media.linio.com.pe/p/samsung-9484-2726331-1-product.jpg|/p/smartphone-samsung-galaxy-siii-mini-i8200-8gb-5mp-desbloqueado-negro-vayn6x
50|SONY XPERIA Z5 E6683 DUAL SIM 4G LTE LIBRE DE FABRICA- VERDE|3500.00|2499.00|//media.linio.com.pe/p/sony-8529-3509241-1-product.jpg|/p/sony-xperia-z5-e6683-dual-sim-4g-lte-libre-de-fabrica-verde-tombbo
51|Lg G4 Stylus - PantallaHD 5.7" QUADCore 4GLte 8MP + Frontal 5MP 8GB NFC Lapiz Stylus- Gris|1499.00|988.00|//media.linio.com.pe/p/lg-2767-4292741-1-product.jpg|/p/lg-g4-stylus-pantallahd-57-quadcore-4glte-8mp-frontal-5mp-8gb-nfc-lapiz-stylus-gris-s2ucea
52|Amgoo - Smartphone AM506G Liberado - Rojo|269.00|159.00|//media.linio.com.pe/p/amgoo-1913-0920931-1-product.jpg|/p/amgoo-smartphone-am506g-liberado-rojo-yktbax
53|Samsung Galaxy S4 Mini i9195 - 4G - 8MP - QUAD CORE 1.2GHz - 8GB - Desbloqueado - Negro|1400.00|719.00|//media.linio.com.pe/p/samsung-1414-5382241-1-product.jpg|/p/samsung-galaxy-s4-mini-i9195-4g-8mp-quad-core-12ghz-8gb-desbloqueado-negro-qeqmvw
54|Smartphone Huawei Y3 Y360 4GB 1.3 Ghz QuadCore 5MP Desbloqueado - Blanco|450.00|319.00|//media.linio.com.pe/p/huawei-1634-9914141-1-product.jpg|/p/smartphone-huawei-y3-y360-4gb-13-ghz-quadcore-5mp-desbloqueado-blanco-jp0tia
55|Smartphone Huawei P8 Lite 16GB - Negro|1799.00|919.00|//media.linio.com.pe/p/huawei-9968-8149341-1-product.jpg|/p/smartphone-huawei-p8-lite-16gb-negro-lhb3j0
56|Smartphone Samsung Galaxy S4 I9500 16GB 13MP-Blanco|1599.00|959.00|//media.linio.com.pe/p/samsung-7156-5240431-1-product.jpg|/p/smartphone-samsung-galaxy-s4-i9500-16gb-13mp-blanco-qfbomt
57|LG G3 32GB 13MP 4G LTE Desbloqueado - Blanco|2499.00|1199.00|//media.linio.com.pe/p/lg-7710-6427811-1-product.jpg|/p/lg-g3-32gb-13mp-4g-lte-desbloqueado-blanco-oqkgoj
58|Samsung Galaxy S6 EDGE 64G-G925-Dorado 4G LTE|3400.00|2499.00|//media.linio.com.pe/p/samsung-5729-5122441-1-product.jpg|/p/samsung-galaxy-s6-edge-64g-g925-dorado-4g-lte-qfx2pk
59|Smartphone Huawei Y3 Y360 4GB 1.3 Ghz QuadCore 5MP Desbloqueado - Negro|450.00|299.00|//media.linio.com.pe/p/huawei-1635-7914141-1-product.jpg|/p/smartphone-huawei-y3-y360-4gb-13-ghz-quadcore-5mp-desbloqueado-negro-n03ihu
